,0,1,2,3,4,5,6,7
musique,0.572,0.325,0.533,0.845,0.821,0.761,0.812,0.898
jeudi,0.56,0.59,0.475,0.511,0.673,0.896,0.838,0.911
dit,0.803,0.902,0.824,0.765,0.682,0.704,0.881,0.898
nos,0.594,0.464,0.74,0.624,0.667,0.677,0.792,0.898
affaires,0.347,0.296,0.463,0.62,0.67,0.893,0.81,0.898
doit,0.895,0.621,0.817,0.768,0.829,0.936,0.949,0.901
homme,0.458,0.379,0.402,0.606,0.589,0.715,0.792,0.929
partie,0.953,0.515,0.475,0.651,0.691,0.783,0.92,0.979
soir,0.346,0.616,0.449,0.532,0.6,0.819,0.81,0.898
lieu,0.353,0.489,0.388,0.608,0.607,0.813,0.833,0.979
banque,0.432,0.262,0.344,0.459,0.575,0.771,0.871,0.898
union,0.233,0.24,0.366,0.468,0.557,0.714,0.81,0.898
quatre,0.688,0.423,0.399,0.477,0.561,0.673,0.79,0.898
travail,0.219,0.266,0.629,0.629,0.601,0.723,0.879,0.965
années,0.123,0.264,0.55,0.564,0.581,0.686,0.85,0.898
chef,0.671,0.485,0.388,0.475,0.568,0.681,0.824,0.91
faut,0.791,0.677,0.607,0.797,0.629,0.753,0.853,0.913
plusieurs,0.899,0.495,0.493,0.514,0.618,0.693,0.814,0.9
centre,0.682,0.599,0.663,0.849,0.783,0.951,0.978,0.916
elles,0.387,0.617,0.787,0.817,0.641,0.705,0.894,0.898
ministre,0.456,0.313,0.374,0.499,0.651,0.791,0.788,0.898
devant,0.123,0.333,0.381,0.575,0.68,0.917,0.95,0.898
mercredi,0.365,0.473,0.436,0.463,0.599,0.822,0.837,0.93
eu,0.374,0.45,0.407,0.624,0.651,0.861,0.838,0.952
car,0.259,0.236,0.353,0.523,0.601,0.792,0.922,0.904
lors,0.67,0.603,0.636,0.73,0.898,0.954,0.881,0.898
rapport,0.123,0.331,0.368,0.576,0.581,0.693,0.811,0.905
afp,0.347,0.272,0.415,0.508,0.641,0.764,0.79,0.898
théâtre,0.123,0.266,0.365,0.514,0.603,0.785,0.949,0.912
x,0.567,0.817,0.85,0.849,0.671,0.907,0.949,0.986
an,0.57,0.311,0.41,0.668,0.803,0.906,0.889,0.935
vers,0.342,0.263,0.344,0.459,0.578,0.703,0.787,0.898
là,0.239,0.387,0.429,0.644,0.567,0.68,0.845,0.905
ailleurs,0.833,0.38,0.525,0.62,0.767,0.747,0.787,0.898
notamment,0.785,0.652,0.578,0.689,0.649,0.701,0.788,0.898
situation,0.912,0.934,0.872,0.747,0.741,0.842,0.837,0.898
celui,0.672,0.529,0.73,0.726,0.607,0.827,0.939,0.957
compte,0.56,0.317,0.516,0.556,0.769,0.72,0.793,0.913
k,0.239,0.306,0.392,0.635,0.523,0.542,0.757,0.898
dm,0.941,0.536,0.626,0.759,0.774,0.926,0.919,0.92
série,0.348,0.435,0.601,0.809,0.67,0.614,0.727,0.898
berne,0.16,0.237,0.539,0.816,0.744,0.854,0.901,0.898
film,0.786,0.386,0.421,0.558,0.624,0.804,0.856,0.929
nombre,0.572,0.457,0.397,0.617,0.638,0.712,0.789,0.898
ici,0.702,0.399,0.793,0.789,0.852,0.794,0.824,0.898
suite,0.149,0.325,0.498,0.423,0.362,0.429,0.821,0.898
avaient,0.342,0.262,0.344,0.466,0.58,0.72,0.79,0.994
ceux,0.458,0.327,0.642,0.797,0.751,0.719,0.816,0.911
trop,0.373,0.317,0.461,0.744,0.77,0.703,0.812,0.898
quelque,0.636,0.435,0.694,0.936,0.915,0.898,0.982,0.902
étaient,0.233,0.237,0.35,0.457,0.566,0.681,0.801,0.932
semaine,0.237,0.313,0.392,0.527,0.707,0.925,0.862,0.957
ii,0.568,0.325,0.392,0.542,0.578,0.775,0.912,0.926
ats,0.446,0.377,0.407,0.457,0.567,0.726,0.848,0.898
chez,0.502,0.448,0.354,0.494,0.559,0.672,0.796,0.898
commission,0.233,0.236,0.344,0.544,0.587,0.747,0.922,0.898
enfants,0.258,0.379,0.352,0.501,0.631,0.725,0.787,0.898
personnes,0.556,0.474,0.408,0.474,0.601,0.717,0.906,0.898
seront,0.233,0.237,0.372,0.606,0.724,0.795,0.925,0.898
dernière,0.123,0.32,0.424,0.479,0.58,0.767,0.81,0.898
va,0.67,0.656,0.706,0.618,0.823,0.972,0.976,0.898
chaque,0.282,0.539,0.823,0.944,0.79,0.867,0.93,0.937
question,0.895,0.537,0.576,0.72,0.67,0.773,0.821,0.898
tour,0.123,0.266,0.344,0.505,0.566,0.727,0.833,0.898
près,0.566,0.418,0.562,0.836,0.96,0.974,0.926,0.898
histoire,0.365,0.273,0.293,0.531,0.586,0.757,0.854,0.898
guerre,0.446,0.362,0.356,0.437,0.585,0.685,0.798,0.904
rien,0.383,0.61,0.406,0.644,0.817,0.805,0.897,0.898
enfin,0.568,0.358,0.446,0.547,0.577,0.73,0.937,0.976
droit,0.335,0.395,0.477,0.77,0.667,0.858,0.848,0.934
celle,0.895,0.788,0.688,0.602,0.592,0.73,0.825,0.898
pendant,0.123,0.236,0.238,0.304,0.471,0.614,0.789,0.898
dollars,0.669,0.51,0.508,0.624,0.832,0.758,0.814,0.898
certains,0.566,0.34,0.649,0.898,0.943,0.951,0.916,0.962
projet,0.147,0.236,0.4,0.713,0.692,0.748,0.872,0.898
hier,0.677,0.528,0.771,0.795,0.855,0.98,0.979,0.898
juin,0.456,0.446,0.657,0.796,0.928,0.921,0.815,0.898
presse,0.356,0.384,0.342,0.451,0.527,0.727,0.813,0.938
serait,0.681,0.587,0.561,0.801,0.773,0.761,0.787,0.947
ni,0.134,0.325,0.408,0.559,0.651,0.907,0.887,0.918
ensemble,0.458,0.3,0.572,0.747,0.722,0.737,0.818,0.898
puis,0.342,0.262,0.515,0.638,0.669,0.667,0.805,0.898
national,0.126,0.237,0.418,0.663,0.815,0.796,0.901,0.936
accord,0.458,0.412,0.376,0.515,0.584,0.728,0.831,0.915
seulement,0.566,0.311,0.462,0.605,0.883,0.922,0.905,0.898
reste,0.598,0.4,0.732,0.681,0.614,0.712,0.862,0.904
di,0.895,0.822,0.846,0.775,0.657,0.827,0.837,0.898
ai,0.676,0.36,0.425,0.485,0.571,0.758,0.825,0.898
nuit,0.123,0.236,0.356,0.457,0.588,0.787,0.873,0.969
économique,0.458,0.395,0.343,0.445,0.506,0.645,0.788,0.898
bon,0.682,0.536,0.612,0.891,0.74,0.886,0.922,0.898
tel,0.337,0.268,0.444,0.473,0.662,0.833,0.903,0.974
uvre,0.567,0.332,0.787,0.79,0.759,0.844,0.857,0.898
beaucoup,0.895,0.634,0.702,0.88,0.736,0.757,0.816,0.898
mars,0.346,0.363,0.509,0.599,0.884,0.815,0.825,0.898
voir,0.346,0.624,0.721,0.704,0.749,0.744,0.787,0.898
mai,0.132,0.373,0.678,0.674,0.907,0.827,0.843,0.914
points,0.895,0.732,0.514,0.608,0.63,0.693,0.814,0.959
conférence,0.591,0.448,0.607,0.521,0.577,0.775,0.899,0.898
w,0.239,0.314,0.366,0.521,0.492,0.64,0.829,0.926
public,0.617,0.405,0.487,0.568,0.71,0.846,0.787,0.898
dire,0.233,0.236,0.358,0.498,0.642,0.697,0.87,0.931
el,0.342,0.293,0.289,0.542,0.701,0.758,0.849,0.899
jamais,0.785,0.982,0.897,0.91,0.733,0.76,0.841,0.898
cinq,0.337,0.332,0.38,0.449,0.566,0.672,0.82,0.948
taux,0.785,0.573,0.47,0.559,0.628,0.748,0.798,0.898
matin,0.566,0.531,0.452,0.717,0.937,0.971,0.914,0.902
nationale,0.305,0.247,0.415,0.564,0.651,0.898,0.89,0.898
hommes,0.909,0.833,0.717,0.704,0.615,0.719,0.847,0.898
jeu,0.348,0.554,0.377,0.518,0.331,0.434,0.508,0.943
surtout,0.671,0.659,0.562,0.658,0.584,0.676,0.825,0.898
police,0.279,0.236,0.345,0.458,0.554,0.675,0.797,0.898
milliards,0.58,0.339,0.368,0.48,0.557,0.69,0.787,0.923
mise,0.459,0.384,0.523,0.756,0.699,0.922,0.976,0.904
demande,0.26,0.236,0.462,0.663,0.756,0.857,0.928,0.898
art,0.682,0.348,0.378,0.53,0.61,0.803,0.899,0.898
membres,0.562,0.35,0.439,0.493,0.557,0.703,0.787,0.898
cependant,0.837,0.636,0.476,0.626,0.723,0.709,0.897,0.898
plan,0.233,0.236,0.355,0.464,0.568,0.701,0.8,0.898
pierre,0.785,0.758,0.623,0.614,0.549,0.719,0.788,0.898
loi,0.571,0.402,0.375,0.466,0.559,0.672,0.787,0.902
pourrait,0.785,0.599,0.527,0.656,0.696,0.681,0.787,0.898
jeunes,0.233,0.251,0.496,0.532,0.592,0.709,0.787,0.898
pris,0.237,0.399,0.664,0.843,0.866,0.945,0.898,0.954
début,0.355,0.262,0.352,0.461,0.58,0.672,0.787,0.898
coul,0.562,0.56,0.291,0.263,0.223,0.648,0.844,0.944
co,0.688,0.453,0.766,0.805,0.866,0.861,0.95,0.898
déclaré,0.472,0.412,0.367,0.555,0.58,0.684,0.787,0.898
générale,0.352,0.281,0.364,0.48,0.501,0.651,0.787,0.898
nom,0.148,0.252,0.356,0.578,0.679,0.747,0.922,0.898
er,0.342,0.273,0.344,0.502,0.611,0.76,0.893,0.898
aurait,0.69,0.554,0.419,0.475,0.561,0.699,0.792,0.898
raison,0.538,0.617,0.807,0.98,0.947,0.853,0.953,0.898
jean,0.233,0.24,0.296,0.437,0.476,0.621,0.787,0.898
ch,0.395,0.259,0.389,0.666,0.687,0.791,0.81,0.898
programme,0.233,0.238,0.38,0.707,0.696,0.771,0.821,0.933
problème,0.895,0.767,0.685,0.586,0.477,0.716,0.876,0.898
action,0.676,0.38,0.422,0.539,0.599,0.77,0.788,0.898
nouvelles,0.739,0.63,0.572,0.556,0.571,0.672,0.787,0.911
pouvoir,0.562,0.711,0.875,0.713,0.618,0.682,0.787,0.898
américain,0.922,0.668,0.912,0.83,0.837,0.907,0.893,0.898
canton,0.123,0.278,0.549,0.577,0.708,0.695,0.787,0.898
pu,0.45,0.546,0.426,0.495,0.655,0.734,0.787,0.898
allemagne,0.556,0.358,0.369,0.466,0.578,0.763,0.897,0.898
salle,0.452,0.288,0.368,0.573,0.702,0.792,0.956,0.928
am,0.349,0.616,0.903,0.973,0.862,0.868,0.949,0.898
heure,0.785,0.651,0.537,0.518,0.591,0.731,0.789,0.898
romande,0.781,0.552,0.743,0.846,0.67,0.793,0.942,0.918
aura,0.337,0.792,0.606,0.528,0.667,0.87,0.88,0.898
international,0.233,0.254,0.301,0.429,0.645,0.804,0.837,0.898
