,0,1,2,3,4,5,6,7
journal,0.0,0.001,0.009,0.553,0.488,0.346,0.425,0.258
groupe,0.873,0.908,0.863,0.948,0.957,0.985,0.964,0.881
vendredi,0.651,0.314,0.231,0.211,0.174,0.195,0.522,0.881
toutes,0.3,0.466,0.382,0.022,0.162,0.134,0.278,0.217
europe,0.307,0.229,0.215,0.53,0.855,0.877,0.672,0.881
etats-unis,0.257,0.34,0.137,0.097,0.019,0.181,0.326,0.545
cas,0.762,0.316,0.166,0.124,0.21,0.336,0.071,0.433
cela,0.873,0.845,0.93,0.92,0.951,0.986,0.964,0.881
service,0.873,0.954,0.89,0.834,0.876,0.923,0.971,0.881
corp,0.142,0.104,0.228,0.536,0.844,0.898,0.939,0.881
zurich,0.221,0.031,0.104,0.051,0.387,0.606,0.755,0.767
point,0.555,0.455,0.328,0.186,0.36,0.398,0.684,0.881
parti,0.873,0.975,0.98,0.979,0.917,0.761,0.89,0.881
grande,0.0,0.149,0.582,0.569,0.815,0.634,0.456,0.232
fut,0.535,0.315,0.328,0.494,0.265,0.052,0.31,0.553
ville,0.113,0.367,0.671,0.912,0.975,0.953,0.94,0.881
aujourd,0.345,0.718,0.746,0.955,0.931,0.794,0.893,0.881
mardi,0.873,0.978,0.974,0.993,0.993,0.951,0.895,0.881
musique,0.096,0.297,0.22,0.179,0.042,0.041,0.204,0.626
jeudi,0.775,0.742,0.95,0.976,0.951,0.854,0.885,0.881
dit,0.31,0.523,0.582,0.209,0.009,0.149,0.062,0.099
nos,0.224,0.416,0.351,0.567,0.84,0.967,0.994,0.881
affaires,0.813,0.94,0.723,0.933,0.967,0.966,0.939,0.881
doit,0.873,0.887,0.64,0.704,0.681,0.851,0.931,0.934
homme,0.344,0.151,0.367,0.079,0.236,0.086,0.165,0.449
partie,0.777,0.716,0.296,0.083,0.233,0.33,0.462,0.649
soir,0.062,0.347,0.156,0.067,0.265,0.29,0.651,0.43
lieu,0.098,0.56,0.274,0.74,0.87,0.776,0.574,0.459
banque,0.553,0.787,0.85,0.972,0.993,0.976,0.895,0.881
union,0.442,0.884,0.839,0.932,0.942,0.936,0.964,0.881
quatre,0.902,0.692,0.668,0.876,0.961,0.943,0.73,0.802
travail,0.938,0.765,0.795,0.761,0.837,0.845,0.791,0.881
années,0.873,0.972,0.987,0.969,0.973,0.985,0.968,0.881
chef,0.667,0.949,0.987,0.956,0.928,0.949,0.938,0.881
faut,0.873,0.894,0.652,0.729,0.85,0.458,0.499,0.665
plusieurs,0.664,0.735,0.944,0.873,0.734,0.824,0.819,0.881
